objectid,filename,title,creator,contributor,date,description,subject,latitude,longitude,location,source,identifier,type,format,language,rights,rightsstatement,,image_thumb,image_small
SF01,SF01.jpg,Picking fabric,"Rice, Murray","Peeters, Abby",3/1/2025,Abby picking out fabric from JoAnn fabrics ,Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.5238° N,90.5766° W,"Davenport, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000 23 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF01,SF01
SF02,SF02.jpg,Choosing thread,"Rice, Murray","Peeters, Abby",3/1/2025,Abby choosing thread to best suit the colorway of her current project,Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.5238° N,90.5766° W,"Davenport, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000 23.5 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF02,SF02
SF03,SF03.jpg,Checking the pattern,"Rice, Murray","Peeters, Abby",3/1/2025,"Abby checking the pattern, done on patterning paper, to make sure the leather applique matches the concept",Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.6581° N,90.5846° W,"Eldridge, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000 14.9 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF03,SF03
SF04,SF04.jpg,The pattern compared to the finished design,"Rice, Murray","Peeters, Abby",3/1/2025,A comparsion of the patterning paper used to cut out each individual leather piece and the finished piece,Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.6581° N,90.5846° W,"Eldridge, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000  20.1 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF04,SF04
SF05,SF05.jpg,Choosing which piece to cut,"Rice, Murray","Peeters, Abby",3/1/2025,Abby choosing which leather piece to cut next,Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.6581° N,90.5846° W,"Eldridge, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000 25.2 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF05,SF05
SF06,SF06.jpg,Tracing onto leather,"Rice, Murray","Peeters, Abby",3/1/2025,Abby tracing out the section of leather she will be cutting for the horse applique piece,Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.6581° N,90.5846° W,"Eldridge, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000 16.8 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF06,SF06
SF07,SF07.jpg,Cutting out the leather pieces,"Rice, Murray","Peeters, Abby",3/1/2025,Abby cutting out the indivdual leather pieces that make up the leather applique horse piece,Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.6581° N,90.5846° W,"Eldridge, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000  24.4 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF07,SF07
SF08,SF08.jpg,Gluing the pieces together,"Rice, Murray","Peeters, Abby",3/1/2025,Abby gluing the cut pices together to strengthen the bond and hold into place while sewing,Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.6581° N,90.5846° W,"Eldridge, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000 16.1 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF08,SF08
SF09,SF09.jpg,Final piece being glued on,"Rice, Murray","Peeters, Abby",3/1/2025,Abby glues the final peice of leather onto the design before starting to sew.,Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.6581° N,90.5846° W,"Eldridge, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000 20.7 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF09,SF09
SF10,SF10.jpg,Sewing the leather applique,"Rice, Murray","Peeters, Abby",3/1/2025,"Abby sews the leather applique, silmutaniosly sewing the piece together and sewing it to the fabric",Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.6581° N,90.5846° W,"Eldridge, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000 23.1 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF10,SF10
